# kmi	source_ref	source_commit	source_tree	prebuilt_ref	prebuilt_commit	prebuilt_build_id	manifest_artifact	manifest_sha256	prebuilt_info_blob	abi_artifact	abi_blob	kernel_artifact	kernel_blob	symvers_artifact	symvers_blob
android12-5.4	android12-5.4	18f5581af79db34976c9f86764c94cee9c2c4bcc	2c3d8568d05c8ab395b0feecf63fddbadc51a5ff	android12-release	eb3f6e42566647871fe59a7448b937f077878cbd	7557496	manifest_7557496.xml	ed34230e9a4bea5d60b67156ea64614c9a3d6395c5e6ebaf1e5bac3469fdd230	093f8b2a4ca90b10a4b1545aa12943cc28a6ba73	abi.xml	0a949341ee13ca1ec3e8f10d571323f275906a74	kernel-5.4	7c55cd4ba21a80dc1e2095bbd8cf7122fee0ce37	-	-
android12-5.10	android12-5.10-m2107	5b153f189546d4dc818931f58fd5b5d16f445d41	c435b348f7cc656b8f8bec02b5a9996a82997286	android12-release	1fed4637da5cecd8b1a8239cb37bf75c7a66662d	7618735	manifest_7618735.xml	16762306eea6fdf7ab5adf2eed7155b4b4e2b636c75086db16ea74b49d4ab902	67abf7ec0f4d756378e9caff216ec218674d5dcd	abi.xml	8c59819cf64190bd25c57cc8abf77d7c01a6b2d3	kernel-5.10	3ca524b38da80f446c799a6094c622e7cdff5bb7	vmlinux.symvers	e7373fd8dc901ccb2d8a0eda1d19da7589738c69
android13-5.10	android13-5.10-2022-06	f8ca44396e51ac8b3fcf639866882af21d4c5a10	ca0b433fcc4485d6c27ced18e9dd23b55d50d245	android13-release	1713dddcaf77d5cd24f799860f7edd3585a35104	8732768	manifest_8732768.xml	9445982e65d2a291c967a7a79fedb4dbefe5382af0eaea106ed0701881aa3e0e	24fea36a4caacb5945167eabadc95753a822c16a	abi.xml	e6ed6ad17e949d7a2637c0b37caa887a76ef9f00	kernel-5.10	95b0ea0855c6fe2db43eab02326e3faeb54dc1a4	vmlinux.symvers	d7732413fb142effa9725d7a5b4549f35dc686cc
android13-5.15	android13-5.15-2022-06	f1bf82c3dacdcb078c472db50d538aa2cea69acf	2f255306262576d30a520387d907b866aa8fc888	android13-release	14073565133eba4ef2508fa7b4e15725f1a39c39	8747247	manifest_8747247.xml	9dc9395acf74441c2fedb8282a112b2df3154dcd29371f85169f1da2f768ffcc	63c187e846269ed0a2b48bd6e5f6f93c54308376	abi.xml	b5ee981351f74e4d7992c365351105c93d11689c	kernel-5.15	981fcfa83e80870e4384f790afb2a29834000324	vmlinux.symvers	da6159d734de5e4cbc949d6716307efca349c0c5
android14-5.15	android14-5.15	5e28b848962c08171230a7a71a96b71a18d9464f	5f05b9ca28b96d785e55bf237c57872b0597e9e5	android14-release	cebc6bde1a514f0bf43a359bf5c276d69050f95b	9412825	manifest_9412825.xml	5e7ece50212e241e831acce03c2de043dc1b497a0d030f150c5deda13aa16473	411c6c645306c40c3391344cae8d9219f6a0e0c5	abi.xml	2399785ff3fd310fb10b7f567e903e4b3b0c1954	kernel-5.15	02c63160fa3b1b3e5a49dbba1293008c7b685f1e	-	-
android14-6.1	android14-6.1	7e35917775b8b3e3346a87f294e334e258bf15e6	9749023aadac349d9979a6254d39b1ad118e46cc	android14-release	e1223faf113c8958496aa49137e6f070e2146a2d	9964412	manifest_9964412.xml	59c11d0d70ad9b9a6504fce15b656e417c516e7559ef9662a4b9606fa9dba827	7e5270df045a5fdf4acf831147b40bf053cff7ff	abi.xml	d0da097924736f11234626509302d55ce2bc29da	kernel-6.1	ea7d952de7dc073f66d84a1952b14a6b131b9a53	-	-
android15-6.6	android15-6.6	dd9c02ccfe27152c269eec860e74f845b94647e9	58151b1dab5dfbf636aa5b54f2b9cdd9e336cc3c	android15-release	7914ce923658a7d89a4df9c6ab282253e256629e	11987101	manifest_11987101.xml	372643664e5267b0b8d21b6687d8902f519aa1f219d094a8967a9524cde77e85	a087f2cdc8f5ae0870475752870a551c691a2a25	abi.stg	ac48ef40ec2a7e8f988f536d6089d24a3b5a8b10	kernel-6.6	ae3e3dd0f2af61fcb645da6b7924a2e491ad9a11	-	-
android16-6.12	android16-6.12	50eb8d5d443b43f38d6e72f005f1b8601ac88a05	738eaff1bab588eaf35b52699705989c0d09d42c	android16-release	0af99653adede9524c7dbb36ba901d22e6266404	13257114	manifest_13257114.xml	23a76af3c306287c5b6cc0ad9e4b9d64bcc1946888cfa703628945d6dea70bd4	d8693fc9f971a743c4e2019ee2a624a2531cf910	abi.stg	23ec0786ac5537dd7d835c078bc84799e5e53f99	kernel-6.12	667d03d8011ebc7089c2f29d02215adec1b55ba6	-	-
